loadfactor1,loadfactor2,loadfactor3,loadfactor4,loadfactor5,loadfactor6,loadfactor7,loadfactor8,loadfactor9,loadfactor10,loadfactor11,loadfactor12,loadfactor13,loadfactor14,loadfactor15,loadfactor16,loadfactor17,loadfactor18,loadfactor19,loadfactor20,load_factor_power1,load_factor_power2,load_factor_power3,load_factor_power4,load_factor_power5,load_factor_power6,load_factor_power7,load_factor_power8,load_factor_power9,load_factor_power10,load_factor_power11,load_factor_power12,load_factor_power13,load_factor_power14,load_factor_power15,load_factor_power16,load_factor_power17,load_factor_power18,load_factor_power19,load_factor_power20,load_factor_power21,load_factor_power22,load_factor_power23,load_factor_power24,feasible?,optimal_solution
2.258335e-01,2.367640e-01,-2.489735e-01,-2.765671e-01,-1.981017e-01,2.268855e-01,-2.409919e-01,-4.733542e-02,2.747337e-01,1.989917e-02,1.151263e-01,-1.106906e-01,1.119006e-01,2.007754e-01,-2.890270e-01,1.500866e-01,2.933167e-01,1.488994e-01,-1.317336e-01,1.735676e-01,-4.978680e-02,1.321947e-01,-2.999314e-01,-1.186005e-01,-2.119465e-01,-2.445968e-01,-1.882439e-01,-9.266356e-02,-6.193952e-02,2.329004e-02,-4.848329e-02,1.111317e-01,-1.773287e-01,2.268705e-01,-2.835674e-01,1.022805e-01,-4.961712e-02,3.521390e-02,-2.157678e-01,-1.811391e-01,1.804467e-01,2.809569e-01,-1.119455e-01,1.153936e-01,0,0
2.667569e-01,5.193302e-02,2.420411e-01,-2.175152e-01,-2.164342e-01,1.844348e-01,-6.139390e-02,-2.007875e-01,2.565051e-01,-9.134048e-02,1.504873e-01,1.355988e-01,2.299837e-01,7.420332e-02,1.505655e-01,-9.066099e-02,-1.380433e-01,2.375317e-01,-4.314529e-02,2.789040e-01,-2.380644e-01,-3.126388e-02,2.451573e-01,-1.238315e-01,-1.273348e-01,-2.219829e-01,-2.883798e-01,1.073013e-01,-1.730231e-01,-1.406720e-01,-5.056104e-03,-2.679825e-01,4.447056e-02,-2.119629e-01,5.358332e-02,1.198550e-01,-2.385993e-01,-5.156641e-02,1.166401e-01,-5.149244e-02,-2.700279e-01,2.153784e-02,9.827679e-02,8.933467e-03,0,0
2.595573e-01,1.180909e-01,-2.603999e-01,1.532778e-01,1.523257e-01,2.538147e-01,1.269149e-01,-2.254374e-01,-2.880719e-01,-2.842734e-01,-2.830161e-01,-1.522734e-01,2.160168e-01,2.329864e-02,3.169319e-02,2.052185e-01,-2.254960e-01,-1.324898e-01,5.145556e-02,2.817574e-01,9.806490e-02,7.301743e-02,-2.311524e-01,2.696936e-01,-3.005272e-02,4.703377e-02,-5.511792e-02,-1.577838e-01,2.420277e-01,4.420769e-02,-2.982778e-01,7.028695e-02,-1.040131e-01,1.623486e-02,2.315653e-01,-8.563814e-02,2.451211e-01,7.401607e-02,-2.905073e-01,2.576623e-01,1.145382e-01,2.983937e-01,-1.965957e-01,-2.177186e-01,0,0
-1.827423e-01,4.881536e-02,2.820120e-01,2.080973e-01,-1.560913e-01,-3.738171e-03,7.197343e-02,1.973885e-01,-2.059252e-01,-2.888543e-01,-2.579867e-01,-8.192933e-03,6.379768e-02,4.131086e-02,-1.095826e-01,2.931697e-01,4.784713e-02,-7.191530e-02,3.056893e-02,1.472007e-01,3.661813e-02,-2.888116e-01,1.803796e-01,-1.602154e-01,1.842631e-01,-6.728361e-02,2.181251e-01,1.482730e-01,3.374414e-02,-2.181269e-01,-2.640494e-01,-2.271939e-01,-2.732689e-01,-2.355035e-01,-1.645744e-01,1.277934e-01,3.583019e-02,-2.924664e-01,-2.568154e-01,2.803658e-01,4.086028e-02,-1.780241e-01,-1.486046e-01,1.462955e-01,1,1.576680e+05
2.701057e-01,3.399191e-02,2.493638e-01,8.493973e-02,-6.599537e-02,-8.405600e-03,6.258629e-02,2.972875e-02,2.557089e-01,2.512401e-01,-6.307463e-02,2.779575e-01,-1.956266e-01,-2.242023e-01,-2.189525e-01,3.397299e-03,-2.870851e-01,2.687821e-01,1.962693e-01,-2.909886e-01,1.015397e-01,-1.410483e-01,-2.601991e-01,-7.794948e-02,7.783050e-02,-1.738956e-01,1.516533e-01,-2.600781e-01,-1.438109e-01,1.828527e-01,-1.839394e-01,8.367653e-02,1.480219e-02,2.548848e-01,-1.420219e-01,-2.604233e-01,1.410396e-01,1.633068e-01,2.446895e-01,2.591832e-01,-2.916291e-01,-1.593827e-01,7.006701e-02,2.694098e-01,0,0
1.727575e-01,6.721871e-02,-2.676544e-01,-4.788379e-02,1.074413e-01,2.511611e-01,-2.997588e-01,2.860555e-01,-7.405181e-02,2.842701e-01,6.282966e-02,1.973075e-01,4.482690e-02,7.684572e-02,-1.286542e-01,5.210000e-02,1.500131e-01,2.149883e-01,1.530493e-01,1.188343e-01,-1.942822e-01,-1.007619e-01,-2.214019e-01,1.856944e-01,-9.315801e-02,2.640645e-01,4.920851e-02,2.272992e-01,2.068407e-01,2.432354e-01,-2.407184e-02,2.780809e-02,1.791622e-01,-1.285687e-01,-5.847886e-03,5.946618e-02,-2.906800e-01,5.608884e-02,-3.979419e-02,1.844163e-01,-1.108531e-01,2.357332e-01,4.671433e-02,-1.895939e-01,0,0
4.349311e-02,1.398855e-01,1.140698e-02,1.625303e-01,4.131479e-02,-2.057407e-02,-9.438666e-02,-2.590744e-01,-7.324549e-02,-2.522244e-01,2.896903e-01,-1.910323e-01,1.871152e-01,2.249770e-01,1.130480e-01,4.169665e-02,-2.034171e-01,-1.987199e-02,-9.289677e-02,-1.649760e-01,2.186877e-01,-1.063914e-01,1.024733e-01,-2.947564e-02,-7.073835e-02,-5.351319e-02,-5.911225e-02,-1.095696e-01,7.315162e-02,-4.185164e-02,2.842812e-01,1.066805e-01,-1.808581e-01,-4.397939e-02,-9.399226e-02,1.785833e-01,2.279990e-01,2.423052e-01,9.763189e-02,-1.378750e-01,-1.485800e-01,2.129388e-01,1.662879e-02,1.812967e-01,1,1.605311e+05
-1.667705e-01,1.161109e-02,1.711776e-01,-2.866017e-01,-1.053825e-01,2.237534e-01,2.068258e-01,2.306436e-02,2.199650e-01,2.698836e-01,1.958442e-01,2.124693e-01,-2.407540e-01,9.078260e-02,1.221102e-01,6.614449e-02,1.797692e-01,-2.792573e-01,1.621432e-01,1.390372e-01,5.550712e-02,-1.126381e-01,2.497833e-01,2.457813e-01,-1.457290e-01,-2.334652e-01,-1.842224e-01,-2.494976e-04,1.371514e-01,-1.750833e-01,-1.511799e-01,2.110031e-01,-5.049077e-02,7.001104e-02,-1.598003e-01,-2.388196e-01,9.514210e-03,-1.371541e-02,-2.083970e-01,7.308374e-02,2.640607e-02,9.248241e-02,-2.132727e-01,1.509167e-01,0,0
2.174078e-01,1.156066e-01,1.145653e-01,-1.868179e-01,-3.485743e-02,4.894644e-02,2.938510e-01,-1.776563e-01,-1.513603e-01,-1.426961e-01,1.501034e-01,-2.581480e-02,-2.658423e-01,5.109744e-03,-1.728239e-01,1.791625e-01,-1.216012e-01,-2.834364e-01,5.605947e-02,2.063043e-01,-1.441810e-01,-1.457584e-01,7.938199e-02,-9.282152e-02,1.779532e-01,-3.231226e-02,1.696496e-01,2.942831e-01,-1.198510e-01,-2.141965e-01,2.407851e-01,2.493563e-02,2.848442e-01,8.196264e-02,2.963478e-01,2.764248e-02,1.585556e-02,-2.187433e-01,-8.657690e-02,-2.842689e-01,-2.037629e-01,1.473823e-01,-2.817602e-01,-8.007414e-02,0,0
-2.139462e-01,-2.529679e-01,-2.890004e-01,-2.599650e-01,-2.484971e-02,-2.319948e-01,-2.833300e-01,1.529169e-01,-6.308971e-02,1.481631e-01,-2.855710e-02,-2.994795e-02,-1.315650e-02,-1.559764e-02,1.818980e-01,-5.856449e-02,2.428117e-01,-2.777634e-01,1.643246e-01,-2.246152e-01,-7.139033e-02,1.499150e-01,6.684887e-03,2.457108e-02,2.756606e-01,1.823765e-01,-2.806062e-01,1.256324e-01,-2.099911e-02,2.685294e-01,-1.671404e-01,-1.397568e-01,-2.511156e-01,-4.282870e-02,-2.345887e-01,8.027206e-02,1.817779e-01,1.180803e-01,1.597268e-01,-9.452753e-02,2.075109e-01,-4.273874e-02,1.944059e-01,7.589770e-02,1,1.598521e+05
