loadfactor1,loadfactor2,loadfactor3,loadfactor4,loadfactor5,loadfactor6,loadfactor7,loadfactor8,loadfactor9,loadfactor10,loadfactor11,loadfactor12,loadfactor13,loadfactor14,loadfactor15,loadfactor16,loadfactor17,loadfactor18,loadfactor19,loadfactor20,load_factor_power1,load_factor_power2,load_factor_power3,load_factor_power4,load_factor_power5,load_factor_power6,load_factor_power7,load_factor_power8,load_factor_power9,load_factor_power10,load_factor_power11,load_factor_power12,load_factor_power13,load_factor_power14,load_factor_power15,load_factor_power16,load_factor_power17,load_factor_power18,load_factor_power19,load_factor_power20,load_factor_power21,load_factor_power22,load_factor_power23,load_factor_power24,nodal_pressure1,nodal_pressure2,nodal_pressure3,nodal_pressure4,nodal_pressure5,nodal_pressure6,nodal_pressure7,nodal_pressure8,nodal_pressure9,nodal_pressure10,nodal_pressure11,nodal_pressure12,nodal_pressure13,nodal_pressure14,nodal_pressure15,nodal_pressure16,nodal_pressure17,nodal_pressure18,nodal_pressure19,nodal_pressure20,pipeline_flow1,pipeline_flow2,pipeline_flow3,pipeline_flow4,pipeline_flow5,pipeline_flow6,pipeline_flow7,pipeline_flow8,pipeline_flow9,pipeline_flow10,pipeline_flow11,pipeline_flow12,pipeline_flow13,pipeline_flow14,pipeline_flow15,pipeline_flow16
7.527783e-02,7.892133e-02,-8.299116e-02,-9.218904e-02,-6.603392e-02,7.562850e-02,-8.033063e-02,-1.577847e-02,9.157791e-02,6.633057e-03,3.837542e-02,-3.689687e-02,3.730019e-02,6.692513e-02,-9.634234e-02,5.002886e-02,9.777222e-02,4.963313e-02,-4.391120e-02,5.785587e-02,-1.659560e-02,4.406490e-02,-9.997713e-02,-3.953349e-02,-7.064882e-02,-8.153228e-02,-6.274796e-02,-3.088785e-02,-2.064651e-02,7.763347e-03,-1.616110e-02,3.704390e-02,-5.910955e-02,7.562349e-02,-9.452248e-02,3.409350e-02,-1.653904e-02,1.173797e-02,-7.192261e-02,-6.037970e-02,6.014891e-02,9.365232e-02,-3.731516e-02,3.846452e-02,3.136625e+02,3.084000e+02,3.028033e+02,2.866000e+02,2.515417e+02,3.018500e+02,2.950576e+02,2.703535e+02,2.557010e+02,2.492000e+02,2.351329e+02,1.896759e+02,1.833333e+02,220,2.200000e+02,2.200000e+02,1.522565e+02,1.982652e+02,170,1.505574e+02,6.579518e+03,6.579518e+03,6.361218e+03,6.030397e+03,4.208234e+03,4.208234e+03,8.178823e+03,5.706372e+03,3.523216e+03,8.337067e+03,3.040000e+03,6.893152e+03,-9.094947e-13,0,6.723413e+03,5.289279e+03
8.891895e-02,1.731101e-02,8.068038e-02,-7.250506e-02,-7.214473e-02,6.147826e-02,-2.046463e-02,-6.692916e-02,8.550172e-02,-3.044683e-02,5.016242e-02,4.519960e-02,7.666122e-02,2.473444e-02,5.018849e-02,-3.022033e-02,-4.601442e-02,7.917724e-02,-1.438176e-02,9.296801e-02,-7.935480e-02,-1.042129e-02,8.171910e-02,-4.127717e-02,-4.244493e-02,-7.399429e-02,-9.612661e-02,3.576711e-02,-5.767438e-02,-4.689067e-02,-1.685368e-03,-8.932749e-02,1.482352e-02,-7.065429e-02,1.786111e-02,3.995167e-02,-7.953311e-02,-1.718880e-02,3.888003e-02,-1.716415e-02,-9.000931e-02,7.179281e-03,3.275893e-02,2.977822e-03,3.124782e+02,3.074000e+02,3.020024e+02,2.864180e+02,2.516081e+02,3.019298e+02,2.950227e+02,2.712000e+02,2.573327e+02,2.513471e+02,2.352065e+02,1.883645e+02,1.833333e+02,220,2.200000e+02,220,1.499901e+02,2.000057e+02,170,1.491522e+02,6.451559e+03,6.451559e+03,6.233589e+03,5.839779e+03,4.243665e+03,4.243665e+03,8.275339e+03,5.564440e+03,3.393436e+03,8.450897e+03,2.702300e+03,7.115631e+03,-9.094947e-13,0,6.943267e+03,5.464840e+03
8.651909e-02,3.936363e-02,-8.679997e-02,5.109261e-02,5.077524e-02,8.460491e-02,4.230495e-02,-7.514581e-02,-9.602397e-02,-9.475780e-02,-9.433870e-02,-5.075779e-02,7.200559e-02,7.766213e-03,1.056440e-02,6.840618e-02,-7.516534e-02,-4.416326e-02,1.715185e-02,9.391915e-02,3.268830e-02,2.433914e-02,-7.705081e-02,8.989785e-02,-1.001757e-02,1.567792e-02,-1.837264e-02,-5.259460e-02,8.067590e-02,1.473590e-02,-9.942593e-02,2.342898e-02,-3.467102e-02,5.411620e-03,7.718842e-02,-2.854605e-02,8.170703e-02,2.467202e-02,-9.683575e-02,8.588745e-02,3.817938e-02,9.946457e-02,-6.553190e-02,-7.257285e-02,3.151253e+02,3.096000e+02,3.037190e+02,2.866304e+02,2.514355e+02,3.017226e+02,295,2.733419e+02,2.624000e+02,2.572918e+02,2.360278e+02,1.902000e+02,1.833333e+02,220,2.200000e+02,2.200000e+02,1.494748e+02,2.004223e+02,170,1.491134e+02,6.755973e+03,6.755973e+03,6.538003e+03,5.468676e+03,4.186136e+03,4.186136e+03,8.450417e+03,4.976300e+03,3.168348e+03,8.385451e+03,3.164618e+03,7.165000e+03,-9.094947e-13,0,6.995324e+03,5.469596e+03
-6.091410e-02,1.627179e-02,9.400400e-02,6.936576e-02,-5.203045e-02,-1.246057e-03,2.399114e-02,6.579618e-02,-6.864172e-02,-9.628476e-02,-8.599557e-02,-2.730978e-03,2.126589e-02,1.377029e-02,-3.652752e-02,9.772323e-02,1.594904e-02,-2.397177e-02,1.018964e-02,4.906689e-02,1.220604e-02,-9.627054e-02,6.012653e-02,-5.340515e-02,6.142104e-02,-2.242787e-02,7.270837e-02,4.942433e-02,1.124805e-02,-7.270895e-02,-8.801646e-02,-7.573131e-02,-9.108962e-02,-7.850117e-02,-5.485813e-02,4.259780e-02,1.194340e-02,-9.748880e-02,-8.560514e-02,9.345527e-02,1.362009e-02,-5.934135e-02,-4.953485e-02,4.876517e-02,3.139705e+02,3.084933e+02,3.026641e+02,2.857392e+02,2.520165e+02,3.024198e+02,295,272,2.607785e+02,2.556554e+02,235,1.890695e+02,1.833333e+02,220,2.200000e+02,220,1.520889e+02,1.985589e+02,170,1.508981e+02,6.714077e+03,6.714077e+03,6.496107e+03,5.549409e+03,4.400131e+03,4.400131e+03,8.395473e+03,5.025720e+03,3.163003e+03,8.373418e+03,2.888439e+03,6.909842e+03,-9.094947e-13,0,6.760619e+03,5.245334e+03
9.003522e-02,1.133064e-02,8.312127e-02,2.831324e-02,-2.199846e-02,-2.801867e-03,2.086210e-02,9.909584e-03,8.523629e-02,8.374669e-02,-2.102488e-02,9.265251e-02,-6.520887e-02,-7.473410e-02,-7.298417e-02,1.132433e-03,-9.569504e-02,8.959404e-02,6.542309e-02,-9.699620e-02,3.384658e-02,-4.701609e-02,-8.673303e-02,-2.598316e-02,2.594350e-02,-5.796520e-02,5.055111e-02,-8.669270e-02,-4.793698e-02,6.095091e-02,-6.131314e-02,2.789218e-02,4.934062e-03,8.496159e-02,-4.734065e-02,-8.680778e-02,4.701319e-02,5.443561e-02,8.156317e-02,8.639441e-02,-9.720969e-02,-5.312758e-02,2.335567e-02,8.980326e-02,3.162445e+02,3.103495e+02,3.040674e+02,2.857211e+02,2.520281e+02,3.024337e+02,295,2.694020e+02,2.532965e+02,2.456724e+02,2.350362e+02,1.876000e+02,1.833333e+02,220,2.200000e+02,2.200000e+02,1.585352e+02,1.936650e+02,170,1.560707e+02,6.989155e+03,6.989155e+03,6.771185e+03,6.033937e+03,4.404318e+03,4.404318e+03,8.070351e+03,5.963586e+03,3.793113e+03,8.494707e+03,2.485118e+03,6.214753e+03,-9.094947e-13,0,6.113154e+03,4.515019e+03
5.758585e-02,2.240624e-02,-8.921815e-02,-1.596126e-02,3.581377e-02,8.372036e-02,-9.991960e-02,9.535183e-02,-2.468394e-02,9.475671e-02,2.094322e-02,6.576916e-02,1.494230e-02,2.561524e-02,-4.288474e-02,1.736667e-02,5.000435e-02,7.166277e-02,5.101644e-02,3.961145e-02,-6.476075e-02,-3.358729e-02,-7.380063e-02,6.189814e-02,-3.105267e-02,8.802150e-02,1.640284e-02,7.576640e-02,6.894689e-02,8.107846e-02,-8.023947e-03,9.269363e-03,5.972072e-02,-4.285623e-02,-1.949295e-03,1.982206e-02,-9.689334e-02,1.869628e-02,-1.326473e-02,6.147211e-02,-3.695104e-02,7.857774e-02,1.557144e-02,-6.319796e-02,3.167136e+02,3.108966e+02,3.046996e+02,2.866226e+02,2.514407e+02,3.017288e+02,295,2.705571e+02,2.555134e+02,2.478000e+02,2.350319e+02,188,1.833333e+02,220,2.200000e+02,2.200000e+02,1.517888e+02,1.986689e+02,170,1.512620e+02,6.947949e+03,6.947949e+03,6.729979e+03,5.997844e+03,4.188058e+03,4.188058e+03,8.214720e+03,5.782281e+03,3.831648e+03,8.462538e+03,2.600807e+03,6.939702e+03,-9.094947e-13,0,6.774582e+03,5.198057e+03
1.449770e-02,4.662851e-02,3.802325e-03,5.417678e-02,1.377160e-02,-6.858024e-03,-3.146222e-02,-8.635813e-02,-2.441516e-02,-8.407478e-02,9.656342e-02,-6.367743e-02,6.237174e-02,7.499233e-02,3.768265e-02,1.389888e-02,-6.780571e-02,-6.623995e-03,-3.096559e-02,-5.499201e-02,7.289589e-02,-3.546380e-02,3.415776e-02,-9.825213e-03,-2.357945e-02,-1.783773e-02,-1.970408e-02,-3.652321e-02,2.438387e-02,-1.395055e-02,9.476042e-02,3.556018e-02,-6.028602e-02,-1.465980e-02,-3.133075e-02,5.952776e-02,7.599966e-02,8.076839e-02,3.254396e-02,-4.595835e-02,-4.952666e-02,7.097959e-02,5.542929e-03,6.043222e-02,3.132728e+02,3.079267e+02,3.022393e+02,2.857535e+02,2.521155e+02,3.025387e+02,2.950734e+02,272,2.601721e+02,2.548966e+02,235,1.900934e+02,1.833333e+02,220,2.200000e+02,2.200000e+02,1.579347e+02,1.941437e+02,170,1.546795e+02,6.626895e+03,6.626895e+03,6.408925e+03,5.552381e+03,4.414340e+03,4.414340e+03,8.395473e+03,5.156908e+03,3.205738e+03,8.289020e+03,3.139246e+03,6.283893e+03,-9.094947e-13,0,6.178592e+03,4.725040e+03
-5.559017e-02,3.870365e-03,5.705921e-02,-9.553391e-02,-3.512751e-02,7.458448e-02,6.894192e-02,7.688119e-03,7.332165e-02,8.996120e-02,6.528140e-02,7.082309e-02,-8.025132e-02,3.026087e-02,4.070340e-02,2.204816e-02,5.992305e-02,-9.308576e-02,5.404775e-02,4.634572e-02,1.850237e-02,-3.754603e-02,8.326111e-02,8.192710e-02,-4.857634e-02,-7.782174e-02,-6.140745e-02,-8.316586e-05,4.571713e-02,-5.836111e-02,-5.039329e-02,7.033437e-02,-1.683026e-02,2.333701e-02,-5.326677e-02,-7.960655e-02,3.171403e-03,-4.571803e-03,-6.946567e-02,2.436125e-02,8.802024e-03,3.082747e-02,-7.109089e-02,5.030556e-02,3.139904e+02,3.086548e+02,3.029791e+02,2.865298e+02,2.515018e+02,3.018021e+02,295,2.698994e+02,2.538369e+02,2.461404e+02,235,1.879134e+02,1.833333e+02,220,2.200000e+02,2.200000e+02,1.515196e+02,1.989699e+02,170,1.510029e+02,6.628039e+03,6.628039e+03,6.410069e+03,6.098608e+03,4.210869e+03,4.210869e+03,8.137100e+03,5.961508e+03,3.814864e+03,8.466245e+03,2.576718e+03,6.966421e+03,-9.094947e-13,0,6.812800e+03,5.231729e+03
7.246925e-02,3.853554e-02,3.818843e-02,-6.227264e-02,-1.161914e-02,1.631548e-02,9.795034e-02,-5.921875e-02,-5.045342e-02,-4.756538e-02,5.003448e-02,-8.604935e-03,-8.861411e-02,1.703248e-03,-5.760797e-02,5.972085e-02,-4.053372e-02,-9.447880e-02,1.868649e-02,6.876809e-02,-4.806032e-02,-4.858614e-02,2.646066e-02,-3.094051e-02,5.931774e-02,-1.077075e-02,5.654988e-02,9.809436e-02,-3.995033e-02,-7.139883e-02,8.026169e-02,8.311876e-03,9.494807e-02,2.732088e-02,9.878260e-02,9.214161e-03,5.285187e-03,-7.291442e-02,-2.885897e-02,-9.475629e-02,-6.792096e-02,4.912744e-02,-9.392006e-02,-2.669138e-02,3.096455e+02,305,3.000689e+02,2.859237e+02,2.518954e+02,3.022744e+02,295,2.719672e+02,2.597783e+02,2.540594e+02,2.352857e+02,1.892548e+02,1.833333e+02,220,2.200000e+02,2.200000e+02,1.508720e+02,1.994342e+02,170,1.501257e+02,6.144438e+03,6.144438e+03,5.926468e+03,5.594318e+03,4.356486e+03,4.356486e+03,8.361703e+03,5.232614e+03,3.333521e+03,8.387385e+03,2.934712e+03,7.030515e+03,-9.094947e-13,0,6.871870e+03,5.343840e+03
-7.131539e-02,-8.432262e-02,-9.633347e-02,-8.665500e-02,-8.283237e-03,-7.733162e-02,-9.444333e-02,5.097230e-02,-2.102990e-02,4.938770e-02,-9.519035e-03,-9.982651e-03,-4.385499e-03,-5.199215e-03,6.063267e-02,-1.952150e-02,8.093723e-02,-9.258779e-02,5.477487e-02,-7.487172e-02,-2.379678e-02,4.997166e-02,2.228296e-03,8.190361e-03,9.188686e-02,6.079218e-02,-9.353539e-02,4.187745e-02,-6.999704e-03,8.950979e-02,-5.571345e-02,-4.658560e-02,-8.370521e-02,-1.427623e-02,-7.819625e-02,2.675735e-02,6.059265e-02,3.936010e-02,5.324228e-02,-3.150918e-02,6.917030e-02,-1.424625e-02,6.480197e-02,2.529923e-02,3.073673e+02,3.029563e+02,2.982775e+02,2.849048e+02,2.525559e+02,3.030671e+02,2.950000e+02,2.699643e+02,2.556876e+02,2.486141e+02,2.350335e+02,1.892000e+02,1.833333e+02,220,220,220,1.576552e+02,1.943570e+02,170,1.553472e+02,5.966376e+03,5.966376e+03,5.748405e+03,5.772377e+03,4.590697e+03,4.590697e+03,8.141580e+03,5.630797e+03,3.672857e+03,8.366107e+03,2.921011e+03,6.315686e+03,-9.094947e-13,0,6.207804e+03,4.625641e+03
