loadfactor1,loadfactor2,loadfactor3,loadfactor4,loadfactor5,loadfactor6,loadfactor7,loadfactor8,loadfactor9,loadfactor10,loadfactor11,loadfactor12,loadfactor13,loadfactor14,loadfactor15,loadfactor16,loadfactor17,loadfactor18,loadfactor19,loadfactor20,load_factor_power1,load_factor_power2,load_factor_power3,load_factor_power4,load_factor_power5,load_factor_power6,load_factor_power7,load_factor_power8,load_factor_power9,load_factor_power10,load_factor_power11,load_factor_power12,load_factor_power13,load_factor_power14,load_factor_power15,load_factor_power16,load_factor_power17,load_factor_power18,load_factor_power19,load_factor_power20,load_factor_power21,load_factor_power22,load_factor_power23,load_factor_power24,optimal_solution,source_generation1,source_generation2,source_generation3,source_generation4,source_generation5,power_generation1,power_generation2,power_generation3,power_generation4,power_generation5,power_generation6,power_generation7,power_generation8,power_generation9,power_generation10
7.527783e-02,7.892133e-02,-8.299116e-02,-9.218904e-02,-6.603392e-02,7.562850e-02,-8.033063e-02,-1.577847e-02,9.157791e-02,6.633057e-03,3.837542e-02,-3.689687e-02,3.730019e-02,6.692513e-02,-9.634234e-02,5.002886e-02,9.777222e-02,4.963313e-02,-4.391120e-02,5.785587e-02,-1.659560e-02,4.406490e-02,-9.997713e-02,-3.953349e-02,-7.064882e-02,-8.153228e-02,-6.274796e-02,-3.088785e-02,-2.064651e-02,7.763347e-03,-1.616110e-02,3.704390e-02,-5.910955e-02,7.562349e-02,-9.452248e-02,3.409350e-02,-1.653904e-02,1.173797e-02,-7.192261e-02,-6.037970e-02,6.014891e-02,9.365232e-02,-3.731516e-02,3.846452e-02,1.625581e+05,6.579518e+03,8000,7.854798e+03,1.531378e+03,3.853152e+03,4.442696e-02,2.133333e-02,2.952511e-02,4.344444e-02,5.563962e-03,6.111111e-03,1.111111e-02,1.928550e-02,5.555556e-02,0
8.891895e-02,1.731101e-02,8.068038e-02,-7.250506e-02,-7.214473e-02,6.147826e-02,-2.046463e-02,-6.692916e-02,8.550172e-02,-3.044683e-02,5.016242e-02,4.519960e-02,7.666122e-02,2.473444e-02,5.018849e-02,-3.022033e-02,-4.601442e-02,7.917724e-02,-1.438176e-02,9.296801e-02,-7.935480e-02,-1.042129e-02,8.171910e-02,-4.127717e-02,-4.244493e-02,-7.399429e-02,-9.612661e-02,3.576711e-02,-5.767438e-02,-4.689067e-02,-1.685368e-03,-8.932749e-02,1.482352e-02,-7.065429e-02,1.786111e-02,3.995167e-02,-7.953311e-02,-1.718880e-02,3.888003e-02,-1.716415e-02,-9.000931e-02,7.179281e-03,3.275893e-02,2.977822e-03,1.661312e+05,6.451559e+03,8000,8000,1.548692e+03,4.413331e+03,4.444444e-02,2.133333e-02,2.916610e-02,4.344444e-02,5.555556e-03,6.111111e-03,1.111111e-02,2.453572e-02,5.555556e-02,0
8.651909e-02,3.936363e-02,-8.679997e-02,5.109261e-02,5.077524e-02,8.460491e-02,4.230495e-02,-7.514581e-02,-9.602397e-02,-9.475780e-02,-9.433870e-02,-5.075779e-02,7.200559e-02,7.766213e-03,1.056440e-02,6.840618e-02,-7.516534e-02,-4.416326e-02,1.715185e-02,9.391915e-02,3.268830e-02,2.433914e-02,-7.705081e-02,8.989785e-02,-1.001757e-02,1.567792e-02,-1.837264e-02,-5.259460e-02,8.067590e-02,1.473590e-02,-9.942593e-02,2.342898e-02,-3.467102e-02,5.411620e-03,7.718842e-02,-2.854605e-02,8.170703e-02,2.467202e-02,-9.683575e-02,8.588745e-02,3.817938e-02,9.946457e-02,-6.553190e-02,-7.257285e-02,1.674864e+05,6.755973e+03,8000,7.958041e+03,1.308167e+03,4.000382e+03,4.443123e-02,2.133333e-02,3.000239e-02,4.344444e-02,5.555556e-03,6.111111e-03,1.111111e-02,2.867941e-02,5.555556e-02,0
-6.091410e-02,1.627179e-02,9.400400e-02,6.936576e-02,-5.203045e-02,-1.246057e-03,2.399114e-02,6.579618e-02,-6.864172e-02,-9.628476e-02,-8.599557e-02,-2.730978e-03,2.126589e-02,1.377029e-02,-3.652752e-02,9.772323e-02,1.594904e-02,-2.397177e-02,1.018964e-02,4.906689e-02,1.220604e-02,-9.627054e-02,6.012653e-02,-5.340515e-02,6.142104e-02,-2.242787e-02,7.270837e-02,4.942433e-02,1.124805e-02,-7.270895e-02,-8.801646e-02,-7.573131e-02,-9.108962e-02,-7.850117e-02,-5.485813e-02,4.259780e-02,1.194340e-02,-9.748880e-02,-8.560514e-02,9.345527e-02,1.362009e-02,-5.934135e-02,-4.953485e-02,4.876517e-02,1.632911e+05,6.714077e+03,8000,7.871783e+03,1.351079e+03,4.021403e+03,4.444444e-02,2.133333e-02,3.098202e-02,4.344444e-02,5.555556e-03,6.111111e-03,1.111111e-02,1.878582e-02,5.555556e-02,0
9.003522e-02,1.133064e-02,8.312127e-02,2.831324e-02,-2.199846e-02,-2.801867e-03,2.086210e-02,9.909584e-03,8.523629e-02,8.374669e-02,-2.102488e-02,9.265251e-02,-6.520887e-02,-7.473410e-02,-7.298417e-02,1.132433e-03,-9.569504e-02,8.959404e-02,6.542309e-02,-9.699620e-02,3.384658e-02,-4.701609e-02,-8.673303e-02,-2.598316e-02,2.594350e-02,-5.796520e-02,5.055111e-02,-8.669270e-02,-4.793698e-02,6.095091e-02,-6.131314e-02,2.789218e-02,4.934062e-03,8.496159e-02,-4.734065e-02,-8.680778e-02,4.701319e-02,5.443561e-02,8.156317e-02,8.639441e-02,-9.720969e-02,-5.312758e-02,2.335567e-02,8.980326e-02,1.683195e+05,6.989155e+03,8000,8000,1.797490e+03,3.729634e+03,4.444444e-02,2.133333e-02,3.074371e-02,4.344444e-02,5.555556e-03,6.111111e-03,1.111111e-02,2.689740e-02,5.555556e-02,0
5.758585e-02,2.240624e-02,-8.921815e-02,-1.596126e-02,3.581377e-02,8.372036e-02,-9.991960e-02,9.535183e-02,-2.468394e-02,9.475671e-02,2.094322e-02,6.576916e-02,1.494230e-02,2.561524e-02,-4.288474e-02,1.736667e-02,5.000435e-02,7.166277e-02,5.101644e-02,3.961145e-02,-6.476075e-02,-3.358729e-02,-7.380063e-02,6.189814e-02,-3.105267e-02,8.802150e-02,1.640284e-02,7.576640e-02,6.894689e-02,8.107846e-02,-8.023947e-03,9.269363e-03,5.972072e-02,-4.285623e-02,-1.949295e-03,1.982206e-02,-9.689334e-02,1.869628e-02,-1.326473e-02,6.147211e-02,-3.695104e-02,7.857774e-02,1.557144e-02,-6.319796e-02,1.709307e+05,6.947949e+03,8000,7.999157e+03,1.620951e+03,4.338894e+03,4.444444e-02,2.133333e-02,3.037642e-02,4.344444e-02,5.555556e-03,6.111111e-03,1.111111e-02,3.116046e-02,5.555556e-02,0
1.449770e-02,4.662851e-02,3.802325e-03,5.417678e-02,1.377160e-02,-6.858024e-03,-3.146222e-02,-8.635813e-02,-2.441516e-02,-8.407478e-02,9.656342e-02,-6.367743e-02,6.237174e-02,7.499233e-02,3.768265e-02,1.389888e-02,-6.780571e-02,-6.623995e-03,-3.096559e-02,-5.499201e-02,7.289589e-02,-3.546380e-02,3.415776e-02,-9.825213e-03,-2.357945e-02,-1.783773e-02,-1.970408e-02,-3.652321e-02,2.438387e-02,-1.395055e-02,9.476042e-02,3.556018e-02,-6.028602e-02,-1.465980e-02,-3.133075e-02,5.952776e-02,7.599966e-02,8.076839e-02,3.254396e-02,-4.595835e-02,-4.952666e-02,7.097959e-02,5.542929e-03,6.043222e-02,1.644876e+05,6.626895e+03,8000,8000,1.266681e+03,3.144647e+03,4.444444e-02,2.133333e-02,2.998807e-02,4.344444e-02,5.555556e-03,6.111111e-03,1.111111e-02,2.713606e-02,5.555556e-02,0
-5.559017e-02,3.870365e-03,5.705921e-02,-9.553391e-02,-3.512751e-02,7.458448e-02,6.894192e-02,7.688119e-03,7.332165e-02,8.996120e-02,6.528140e-02,7.082309e-02,-8.025132e-02,3.026087e-02,4.070340e-02,2.204816e-02,5.992305e-02,-9.308576e-02,5.404775e-02,4.634572e-02,1.850237e-02,-3.754603e-02,8.326111e-02,8.192710e-02,-4.857634e-02,-7.782174e-02,-6.140745e-02,-8.316586e-05,4.571713e-02,-5.836111e-02,-5.039329e-02,7.033437e-02,-1.683026e-02,2.333701e-02,-5.326677e-02,-7.960655e-02,3.171403e-03,-4.571803e-03,-6.946567e-02,2.436125e-02,8.802024e-03,3.082747e-02,-7.109089e-02,5.030556e-02,1.667408e+05,6.628039e+03,8000,8000,1.702279e+03,4.389703e+03,4.444444e-02,2.133333e-02,2.953953e-02,4.344444e-02,5.555556e-03,6.111111e-03,1.111111e-02,2.378143e-02,5.555556e-02,0
7.246925e-02,3.853554e-02,3.818843e-02,-6.227264e-02,-1.161914e-02,1.631548e-02,9.795034e-02,-5.921875e-02,-5.045342e-02,-4.756538e-02,5.003448e-02,-8.604935e-03,-8.861411e-02,1.703248e-03,-5.760797e-02,5.972085e-02,-4.053372e-02,-9.447880e-02,1.868649e-02,6.876809e-02,-4.806032e-02,-4.858614e-02,2.646066e-02,-3.094051e-02,5.931774e-02,-1.077075e-02,5.654988e-02,9.809436e-02,-3.995033e-02,-7.139883e-02,8.026169e-02,8.311876e-03,9.494807e-02,2.732088e-02,9.878260e-02,9.214161e-03,5.285187e-03,-7.291442e-02,-2.885897e-02,-9.475629e-02,-6.792096e-02,4.912744e-02,-9.392006e-02,-2.669138e-02,1.663732e+05,6.144438e+03,8000,8.000000e+03,1.398815e+03,4.095803e+03,4.444444e-02,2.133333e-02,3.080823e-02,4.344444e-02,5.555556e-03,6.111111e-03,1.111111e-02,2.773443e-02,5.555556e-02,0
-7.131539e-02,-8.432262e-02,-9.633347e-02,-8.665500e-02,-8.283237e-03,-7.733162e-02,-9.444333e-02,5.097230e-02,-2.102990e-02,4.938770e-02,-9.519035e-03,-9.982651e-03,-4.385499e-03,-5.199215e-03,6.063267e-02,-1.952150e-02,8.093723e-02,-9.258779e-02,5.477487e-02,-7.487172e-02,-2.379678e-02,4.997166e-02,2.228296e-03,8.190361e-03,9.188686e-02,6.079218e-02,-9.353539e-02,4.187745e-02,-6.999704e-03,8.950979e-02,-5.571345e-02,-4.658560e-02,-8.370521e-02,-1.427623e-02,-7.819625e-02,2.675735e-02,6.059265e-02,3.936010e-02,5.324228e-02,-3.150918e-02,6.917030e-02,-1.424625e-02,6.480197e-02,2.529923e-02,1.641396e+05,5.966376e+03,8000,8000,1.597661e+03,3.394674e+03,4.444444e-02,2.133333e-02,2.919397e-02,4.344444e-02,5.555556e-03,6.111111e-03,1.111111e-02,2.782108e-02,5.555556e-02,0
6.381784e-02,-3.788255e-02,9.648349e-02,-4.667226e-02,6.730669e-03,-3.710660e-02,8.215457e-02,-2.668867e-02,-1.328153e-02,2.458538e-03,8.777730e-02,-9.381020e-02,4.337573e-02,7.820379e-02,-9.454256e-02,4.410249e-03,-3.480204e-02,7.189786e-02,1.170331e-02,3.804557e-02,2.370271e-02,-9.792715e-02,7.725457e-03,-9.939641e-02,9.023876e-02,8.108041e-02,5.919339e-02,8.305486e-02,-7.088835e-02,-6.845399e-02,-6.247367e-02,2.449918e-02,8.116190e-02,9.799104e-02,4.222449e-02,4.636008e-02,8.185864e-02,-1.982525e-02,-5.002986e-02,-6.531397e-02,-7.610859e-02,6.252212e-02,-7.064153e-02,-4.714050e-02,1.659664e+05,6.310526e+03,8000,7.840249e+03,1.444468e+03,3.591196e+03,4.444444e-02,2.133333e-02,3.083666e-02,4.344444e-02,5.555556e-03,6.111111e-03,1.111111e-02,2.905658e-02,5.555556e-02,0
